Date,Open,High,Low,Close,Adj Close,Volume,Date,normalized TSX
2013-05-08,12480.09961,12598.40039,12464.09961,12585,12585,1925000,2013-05-08,0.90022105
2013-05-09,12584.7002,12601.09961,12530,12543.90039,12543.90039,2089600,2013-05-09,0.195505871
2013-05-10,12517.2002,12589.09961,12511.90039,12589.09961,12589.09961,1708200,2013-05-10,1
2013-05-13,12573,12586.29981,12479.09961,12529.5,12529.5,1615600,2013-05-13,0.470152042
2013-05-14,12529.2002,12600.7002,12529.2002,12577,12577,1700800,2013-05-14,0.668528741
2013-05-15,12526.09961,12575,12439.09961,12473.7002,12473.7002,1649600,2013-05-15,0.254602549
2013-05-16,12473.40039,12563,12463.40039,12507.59961,12507.59961,1626400,2013-05-16,0.443768991
2013-05-17,12487.29981,12636.29981,12487.29981,12613,12613,1713800,2013-05-17,0.84362547
2013-05-21,12669.5,12806.5,12613,12742.40039,12742.40039,2420000,2013-05-21,0.668735871
2013-05-22,12801.5,12889.29981,12735.59961,12752.5,12752.5,2195000,2013-05-22,0.10995686
2013-05-23,12648.79981,12748.59961,12598.90039,12658.09961,12658.09961,1593000,2013-05-23,0.395454424
2013-05-24,12617.2002,12670.7002,12617.2002,12667.2002,12667.2002,1396600,2013-05-24,0.934579439
2013-05-27,12688.59961,12703.09961,12662.79981,12696.40039,12696.40039,547000,2013-05-27,0.833765494
2013-05-28,12755.59961,12798.5,12704.7002,12750.5,12750.5,2046600,2013-05-28,0.488271857
2013-05-29,12677.40039,12750.5,12658.59961,12732.59961,12732.59961,1763200,2013-05-29,0.805219643
2013-05-30,12745.2002,12767.5,12725.90039,12746.5,12746.5,2034200,2013-05-30,0.495187563
2013-05-31,12691.40039,12745.7002,12620.09961,12650.40039,12650.40039,2957600,2013-05-31,0.241247139
2013-06-03,12661.2002,12681.2002,12570.90039,12609.79981,12609.79981,1688400,2013-06-03,0.352669838
2013-06-04,12600.5,12636.40039,12568.90039,12594,12594,1421000,2013-06-04,0.371846059
2013-06-05,12541,12588.59961,12422.40039,12443.7002,12443.7002,2095000,2013-06-05,0.128158268
2013-06-06,12406.79981,12453.79981,12327.7002,12409.29981,12409.29981,1806200,2013-06-06,0.64710438
2013-06-07,12388.5,12413,12310.29981,12373.29981,12373.29981,1588400,2013-06-07,0.613436031
2013-06-10,12375.59961,12400.7002,12328.5,12382.7002,12382.7002,1227000,2013-06-10,0.750693194
2013-06-11,12301,12375.79981,12217.7002,12223.59961,12223.59961,1728000,2013-06-11,0.037314539
2013-06-12,12246.09961,12246.09961,12092.5,12109.90039,12109.90039,1800000,2013-06-12,0.113284084
2013-06-13,12064.40039,12291.2002,12032.40039,12277.09961,12277.09961,1684000,2013-06-13,0.945515469
2013-06-14,12271,12298.29981,12178.2002,12187.40039,12187.40039,1725200,2013-06-14,0.076604712
2013-06-17,12249.29981,12325.79981,12189.79981,12288.90039,12288.90039,1432800,2013-06-17,0.728680779
2013-06-18,12299.2002,12389.09961,12288.29981,12367.5,12367.5,1638200,2013-06-18,0.785717748
2013-06-19,12347.7002,12365.5,12237.7002,12268.29981,12268.29981,1759800,2013-06-19,0.239433933
2013-06-20,12100.09961,12268.29981,11940.5,11968.59961,11968.59961,2973200,2013-06-20,0.08572186
2013-06-21,12019.09961,12067.5,11935.7002,11995.7002,11995.7002,3785200,2013-06-21,0.455235878
2013-06-24,11909,11994.7002,11759,11836.90039,11836.90039,1811200,2013-06-24,0.330506265
2013-06-25,11893.7002,12007.7002,11838.5,12005.40039,12005.40039,1821400,2013-06-25,0.986407793
2013-06-26,11990.5,12005.40039,11934.7002,11951.90039,11951.90039,1896000,2013-06-26,0.243283569
2013-06-27,12003.90039,12053.59961,11951.90039,12005.79981,12005.79981,1993400,2013-06-27,0.52998848
2013-06-28,11995.90039,12181,11992.90039,12129.09961,12129.09961,2090800,2013-06-28,0.724080282
2013-07-02,12178,12217.40039,12113.79981,12178.40039,12178.40039,1824600,2013-07-02,0.623554253
2013-07-03,12175.5,12179.09961,12055.59961,12145.7002,12145.7002,1293600,2013-07-03,0.729559401
2013-07-04,12174.90039,12217.2002,12138.40039,12166.7002,12166.7002,415800,2013-07-04,0.359135462
2013-07-05,12160.2002,12170.90039,12073.59961,12134.90039,12134.90039,144084300,2013-07-05,0.630013251
2013-07-08,12188.09961,12219.79981,12134.90039,12208.90039,12208.90039,1392800,2013-07-08,0.871619679
2013-07-09,12247,12298.7002,12203.5,12297.09961,12297.09961,1429600,2013-07-09,0.983187156
2013-07-10,12311.59961,12315.5,12250.09961,12306.90039,12306.90039,1469400,2013-07-10,0.868508294
2013-07-11,12420.09961,12496.29981,12306.90039,12493.29981,12493.29981,2251000,2013-07-11,0.984160458
2013-07-12,12516.29981,12519.7002,12436.79981,12462.2002,12462.2002,1238800,2013-07-12,0.306396508
2013-07-15,12515.90039,12569.90039,12462.2002,12528.29981,12528.29981,1377800,2013-07-15,0.613737137
2013-07-16,12569,12569,12490.59961,12516.90039,12516.90039,1466400,2013-07-16,0.335467485
2013-07-17,12536.29981,12598,12519,12568.79981,12568.79981,1627800,2013-07-17,0.630377278
2013-07-18,12593.79981,12680.2002,12568.29981,12628.79981,12628.79981,1695200,2013-07-18,0.54065942
2013-07-19,12628.29981,12693.90039,12625,12685.09961,12685.09961,1666200,2013-07-19,0.87226804
2013-07-22,12685.09961,12761.40039,12685.09961,12758.40039,12758.40039,1581400,2013-07-22,0.960681923
2013-07-23,12759.09961,12772.09961,12710.40039,12745.40039,12745.40039,1679600,2013-07-23,0.56726813
2013-07-24,12745.40039,12766.90039,12632.7002,12672.29981,12672.29981,1833400,2013-07-24,0.29507863
2013-07-25,12672.40039,12705,12637.29981,12669.09961,12669.09961,1665400,2013-07-25,0.469715102
2013-07-26,12666.90039,12676.79981,12614.59961,12647.90039,12647.90039,1299400,2013-07-26,0.53538066
2013-07-29,12647.90039,12688.40039,12618,12669,12669,1153400,2013-07-29,0.724427795
2013-07-30,12669,12669,12555.79981,12581.79981,12581.79981,176272400,2013-07-30,0.229681583
2013-07-31,12581.79981,12631.7002,12486.59961,12486.59961,12486.59961,203824200,2013-07-31,0
2013-08-01,12486.59961,12623.40039,12486.59961,12594,12594,1657200,2013-08-01,0.78508609
2013-08-02,12594,12627.59961,12579,12603.29981,12603.29981,124497400,2013-08-02,0.50000001
2013-08-06,12603.29981,12603.29981,12419,12469.29981,12469.29981,173302700,2013-08-06,0.27292381
2013-08-07,12469.29981,12469.29981,12400.09961,12412.7002,12412.7002,149940700,2013-08-07,0.182088877
2013-08-08,12412.7002,12564.09961,12412.7002,12552.90039,12552.90039,174198900,2013-08-08,0.926028657
2013-08-09,12552.90039,12557.29981,12502.2002,12542.09961,12542.09961,154693700,2013-08-09,0.724132421
2013-08-12,12542.2002,12594.29981,12542.2002,12594.29981,12594.29981,155373100,2013-08-12,1
2013-08-13,12594.29981,12655.79981,12594.29981,12642.2002,12642.2002,158472400,2013-08-13,0.77886813
2013-08-14,12642.2002,12664.2002,12614.40039,12639.29981,12639.29981,195460500,2013-08-14,0.499990201
2013-08-15,12639,12704.5,12562,12704.5,12704.5,212846300,2013-08-15,1
2013-08-16,12704.5,12800,12704.5,12736.90039,12736.90039,152862300,2013-08-16,0.33927111
2013-08-19,12735.5,12735.5,12578.79981,12588,12588,127044300,2013-08-19,0.058712084
2013-08-20,12588,12707.5,12573.5,12670.09961,12670.09961,143285800,2013-08-20,0.720892604
2013-08-21,12670.09961,12670.09961,12542.79981,12573.09961,12573.09961,159390300,2013-08-21,0.238019251
2013-08-22,12573.09961,12700.2002,12573.09961,12674.40039,12674.40039,147391600,2013-08-22,0.797012706
2013-08-23,12674.29981,12776.09961,12674.29981,12762.29981,12762.29981,1314000,2013-08-23,0.864441743
2013-08-26,12762.29981,12812.59961,12751.90039,12760.29981,12760.29981,127814600,2013-08-26,0.138377631
2013-08-27,12760.29981,12760.29981,12567.2002,12591.2002,12591.2002,1686800,2013-08-27,0.124288185
2013-08-28,12591.2002,12677.5,12582.59961,12607.2002,12607.2002,150204900,2013-08-28,0.259225339
2013-08-29,12607.2002,12742.7002,12607.2002,12704.7002,12704.7002,1538000,2013-08-29,0.719557196
2013-08-30,12704.59961,12746.5,12653,12653.90039,12653.90039,1340400,2013-08-30,0.00962985
2013-09-03,12654.29981,12828.09961,12654.29981,12740.5,12740.5,1332400,2013-09-03,0.495974063
