"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 18-Jun-2016",57118.20,51281.94,55658.65,,1776.57,1595.05,1731.18,
"00:00:00 08-Jun-2016",55317.33,50948.18,53843.76,,1720.56,1584.67,1674.73,
"00:00:00 29-May-2016",52028.66,50477.27,51044.24,,1618.27,1570.02,1587.65,
"00:00:00 19-May-2016",53051.87,50590.76,50801.38,,1650.10,1573.55,1580.10,
"00:00:00 09-May-2016",53550.76,52128.82,52799.60,,1665.61,1621.39,1642.25,
"00:00:00 29-Apr-2016",53835.55,51039.74,53460.57,,1674.47,1587.51,1662.81,
"00:00:00 19-Apr-2016",51741.60,50094.01,51074.14,,1609.34,1558.10,1588.58,
"00:00:00 09-Apr-2016",52461.21,50456.47,50476.30,,1631.73,1569.37,1569.99,
"00:00:00 30-Mar-2016",52573.11,50858.32,51756.28,,1635.21,1581.87,1609.80,
"00:00:00 20-Mar-2016",53085.18,51496.86,52048.03,,1651.13,1601.73,1618.87,
"00:00:00 10-Mar-2016",54944.54,51959.40,52476.45,,1708.97,1616.12,1632.20,
"00:00:00 29-Feb-2016",55122.68,52880.17,53407.62,,1714.51,1644.76,1661.16,
"00:00:00 19-Feb-2016",55723.69,52776.57,53216.91,,1733.20,1641.53,1655.23,
"00:00:00 09-Feb-2016",56661.03,52580.49,54367.02,,1762.36,1635.44,1691.00,
"00:00:00 30-Jan-2016",53776.03,50151.85,53347.38,,1672.62,1559.90,1659.29,
"00:00:00 20-Jan-2016",52019.45,49772.92,50250.64,,1617.99,1548.11,1562.97,
"00:00:00 10-Jan-2016",51192.01,49299.37,50957.13,,1592.25,1533.38,1584.94,
"00:00:00 31-Dec-2015",50469.85,47106.50,50328.05,,1569.79,1465.18,1565.38,
"00:00:00 21-Dec-2015",48649.39,47304.72,47370.62,,1513.17,1471.34,1473.39,
"00:00:00 11-Dec-2015",47957.51,46648.86,47762.05,,1491.65,1450.94,1485.57,
"00:00:00 01-Dec-2015",47343.32,44910.14,46995.00,,1472.54,1396.86,1461.71,
"00:00:00 21-Nov-2015",46404.79,45226.46,45680.66,,1443.35,1406.70,1420.83,
"00:00:00 11-Nov-2015",46967.50,45652.26,46261.96,,1460.85,1419.94,1438.91,
"00:00:00 01-Nov-2015",48034.19,46335.99,46500.62,,1494.03,1441.21,1446.33,
"00:00:00 22-Oct-2015",50199.69,47899.91,48018.41,,1561.38,1489.85,1493.54,
"00:00:00 12-Oct-2015",49490.80,48044.61,49241.06,,1539.34,1494.35,1531.57,
"00:00:00 02-Oct-2015",48553.03,47071.03,48132.00,,1510.17,1464.07,1497.07,
"00:00:00 22-Sep-2015",49654.33,47376.47,47433.86,,1544.42,1473.57,1475.36,
"00:00:00 12-Sep-2015",48462.72,46957.40,48241.71,,1507.36,1460.54,1500.48,
"00:00:00 02-Sep-2015",48659.03,46853.29,47234.06,,1513.47,1457.30,1469.14,
"00:00:00 23-Aug-2015",49930.61,47621.95,48541.90,,1553.02,1481.21,1509.82,
"00:00:00 13-Aug-2015",49226.74,46624.46,49191.93,,1531.12,1450.18,1530.04,
"00:00:00 03-Aug-2015",47219.55,45724.58,46907.41,,1468.69,1422.19,1458.98,
"00:00:00 24-Jul-2015",46265.02,45148.46,46140.68,,1439.00,1404.27,1435.14,
"00:00:00 14-Jul-2015",47857.85,45423.48,45671.96,,1488.55,1412.83,1420.56,
"00:00:00 04-Jul-2015",47813.05,47010.73,47430.53,,1487.15,1462.20,1475.25,
"00:00:00 24-Jun-2015",47384.39,46403.09,47246.58,,1473.82,1443.30,1469.53,
"00:00:00 14-Jun-2015",47572.41,46511.71,46708.67,,1479.67,1446.68,1452.80,
"00:00:00 04-Jun-2015",47518.66,46573.37,46808.06,,1478.00,1448.59,1455.89,
"00:00:00 25-May-2015",48462.59,47237.06,47485.11,,1507.36,1469.24,1476.95,
"00:00:00 15-May-2015",48022.77,46784.79,47602.54,,1493.68,1455.17,1480.60,
"00:00:00 05-May-2015",47286.19,45715.17,47058.99,,1470.76,1421.90,1463.70,
"00:00:00 25-Apr-2015",47004.50,45589.28,46212.70,,1462.00,1417.99,1437.38,
"00:00:00 15-Apr-2015",48344.84,45996.09,46165.25,,1503.69,1430.64,1435.90,
"00:00:00 05-Apr-2015",49024.97,47828.21,47913.84,,1524.85,1487.62,1490.29,
"00:00:00 26-Mar-2015",49013.70,47980.65,48270.90,,1524.50,1492.37,1501.39,
"00:00:00 16-Mar-2015",48268.73,46967.33,48137.18,,1501.33,1460.85,1497.23,
"00:00:00 06-Mar-2015",48183.68,46914.32,47678.96,,1498.68,1459.20,1482.98,
"00:00:00 24-Feb-2015",49201.46,47821.98,48177.86,,1530.34,1487.43,1498.50,
"00:00:00 14-Feb-2015",49483.36,47875.70,48639.05,,1539.10,1489.10,1512.84,
"00:00:00 04-Feb-2015",51517.15,48941.66,49213.63,,1602.36,1522.26,1530.72,
"00:00:00 25-Jan-2015",52557.90,50044.69,50474.56,,1634.73,1556.56,1569.93,
"00:00:00 15-Jan-2015",52038.28,47161.94,51701.35,,1618.57,1466.90,1608.09,
"00:00:00 05-Jan-2015",47894.28,44867.12,47280.52,,1489.68,1395.52,1470.59,
"00:00:00 26-Dec-2014",45193.15,43911.52,44878.55,,1405.66,1365.80,1395.88,
"00:00:00 16-Dec-2014",45822.83,43806.71,43979.28,,1425.25,1362.54,1367.91,
"00:00:00 06-Dec-2014",45682.65,43688.45,44924.98,,1420.89,1358.86,1397.32,
"00:00:00 26-Nov-2014",44468.98,42076.81,43835.32,,1383.14,1308.74,1363.43,
"00:00:00 16-Nov-2014",43144.37,43144.37,43144.37,,1341.94,1341.94,1341.94,
"00:00:00 06-Nov-2014",43319.69,41652.74,43144.37,,1347.39,1295.55,1341.94,
"00:00:00 27-Oct-2014",44543.18,41727.87,41900.17,,1385.45,1297.88,1303.24,
"00:00:00 17-Oct-2014",45368.12,44168.10,44378.82,,1411.11,1373.78,1380.34,
"00:00:00 07-Oct-2014",45421.95,43212.44,44848.71,,1412.78,1344.06,1394.95,
"00:00:00 27-Sep-2014",43887.55,42826.22,43241.65,,1365.06,1332.04,1344.97,
"00:00:00 17-Sep-2014",43987.95,42541.75,43668.88,,1368.18,1323.20,1358.25,
"00:00:00 07-Sep-2014",44546.64,43515.79,43582.99,,1385.56,1353.49,1355.58,
"00:00:00 28-Aug-2014",45243.50,43971.47,44395.06,,1407.23,1367.67,1380.84,
"00:00:00 18-Aug-2014",45676.28,44655.49,44852.15,,1420.69,1388.94,1395.06,
"00:00:00 08-Aug-2014",46460.45,45175.99,45597.52,,1445.08,1405.13,1418.24,
"00:00:00 29-Jul-2014",46163.60,44860.80,46092.38,,1435.85,1395.33,1433.63,
"00:00:00 19-Jul-2014",45543.80,44466.91,45286.11,,1416.57,1383.08,1408.56,
"00:00:00 09-Jul-2014",46218.77,44719.46,45237.56,,1437.56,1390.93,1407.05,
