2014-12-23	1.163
2014-12-24	1.1623
2014-12-29	1.1629
2014-12-30	1.1607
2014-12-31	1.1601
2015-01-02	1.1762
2015-01-05	1.1749
2015-01-06	1.1828
2015-01-07	1.182
2015-01-08	1.1836
2015-01-09	1.1866
2015-01-12	1.1967
2015-01-13	1.1954
2015-01-14	1.1945
2015-01-15	1.1964
2015-01-16	1.1968
2015-01-19	1.1947
2015-01-20	1.2107
2015-01-21	1.2335
2015-01-22	1.2404
2015-01-23	1.2424
2015-01-26	1.2464
2015-01-27	1.2404
2015-01-28	1.252
2015-01-29	1.2611
2015-01-30	1.2711
2015-02-02	1.2577
2015-02-03	1.2396
2015-02-04	1.2565
2015-02-05	1.2424
2015-02-06	1.2524
2015-02-09	1.2465
2015-02-10	1.2574
2015-02-11	1.2641
2015-02-12	1.249
2015-02-13	1.2461
2015-02-17	1.2374
2015-02-18	1.2418
2015-02-19	1.2498
2015-02-20	1.2546
2015-02-23	1.2576
2015-02-24	1.2496
2015-02-25	1.2423
2015-02-26	1.2527
2015-02-27	1.2503
2015-03-02	1.2535
2015-03-03	1.249
2015-03-04	1.2416
2015-03-05	1.2506
2015-03-06	1.261
2015-03-09	1.2596
2015-03-10	1.268
2015-03-11	1.2761
2015-03-12	1.2703
2015-03-13	1.279
2015-03-16	1.278
2015-03-17	1.2776
2015-03-18	1.257
2015-03-19	1.2726
2015-03-20	1.2579
2015-03-23	1.2499
2015-03-24	1.2501
2015-03-25	1.2517
2015-03-26	1.2471
2015-03-27	1.26
2015-03-30	1.2693
2015-03-31	1.2666
2015-04-01	1.2626
2015-04-02	1.2564
2015-04-06	1.2478
2015-04-07	1.2504
2015-04-08	1.2538
2015-04-09	1.2592
2015-04-10	1.258
2015-04-13	1.2592
2015-04-14	1.249
2015-04-15	1.23
2015-04-16	1.2181
2015-04-17	1.2228
2015-04-20	1.223
2015-04-21	1.2281
2015-04-22	1.2228
2015-04-23	1.2146
2015-04-24	1.217
2015-04-27	1.2101
2015-04-28	1.203
2015-04-29	1.2023
2015-04-30	1.2064
2015-05-01	1.2157
2015-05-04	1.2092
2015-05-05	1.2072
2015-05-06	1.204
2015-05-07	1.212
2015-05-08	1.209
2015-05-11	1.211
2015-05-12	1.2018
2015-05-13	1.1967
2015-05-14	1.1999
2015-05-15	1.2022
2015-05-19	1.2232
2015-05-20	1.2196
2015-05-21	1.2208
2015-05-22	1.2301
2015-05-25	1.2313
2015-05-26	1.2427
2015-05-27	1.2459
2015-05-28	1.2435
2015-05-29	1.2437
2015-06-01	1.2535
2015-06-02	1.2408
2015-06-03	1.2453
2015-06-04	1.2504
2015-06-05	1.2439
2015-06-08	1.2398
2015-06-09	1.2346
2015-06-10	1.2262
2015-06-11	1.2275
2015-06-12	1.2311
2015-06-15	1.2317
2015-06-16	1.2312
2015-06-17	1.2236
2015-06-18	1.2227
2015-06-19	1.2266
2015-06-22	1.2326
2015-06-23	1.2333
2015-06-24	1.24
2015-06-25	1.2323
2015-06-26	1.2315
2015-06-29	1.2392
2015-06-30	1.249
2015-07-02	1.2545
2015-07-03	1.256
2015-07-06	1.2652
